iter	MultiClass
0	1.066139228
1	1.030095536
2	0.9975719489
3	0.9692890503
4	0.937734879
5	0.9132956556
6	0.8874053638
7	0.862314285
8	0.8385892166
9	0.8184938338
10	0.8002627885
11	0.781479647
12	0.7636089881
13	0.749368303
14	0.7349317549
15	0.7199903264
16	0.7064605536
17	0.6911741586
18	0.6816948249
19	0.6670665371
20	0.6576015233
21	0.6484147642
22	0.637655897
23	0.6282563316
24	0.6148978491
25	0.6040385318
26	0.5937344297
27	0.5853228279
28	0.5751623163
29	0.5663715179
30	0.5591797857
31	0.5516390924
32	0.5424370779
33	0.5349151113
34	0.5262562513
35	0.5200798916
36	0.5146159699
37	0.5072152297
38	0.5014690947
39	0.4938309724
40	0.4885241582
41	0.4822171928
42	0.4747774873
43	0.4688251395
44	0.4643777634
45	0.4573273219
46	0.4513246031
47	0.4478475383
48	0.4425537376
49	0.4370213081
50	0.433936383
51	0.4292656279
52	0.4254160903
53	0.4189538433
54	0.4165823302
55	0.4120627232
56	0.4080009407
57	0.4041938465
58	0.3997393336
59	0.3950174948
60	0.3901397479
61	0.3873379828
62	0.3837223986
63	0.3800512377
64	0.3760846648
65	0.372003367
66	0.368197943
67	0.3649677201
68	0.3610845176
69	0.3573426032
70	0.3542094116
71	0.3493848803
72	0.3454522084
73	0.3419247375
74	0.3384563917
75	0.3346290902
76	0.3315813144
77	0.3290687633
78	0.3260406874
79	0.3236093906
80	0.3208862082
81	0.3179984147
82	0.3148184785
83	0.3110308859
84	0.3082372408
85	0.3055427524
86	0.3015008302
87	0.2981292335
88	0.294774475
89	0.2913906389
90	0.2881973298
91	0.2856689424
92	0.2831820316
93	0.279518087
94	0.2759680676
95	0.2732382899
96	0.270018864
97	0.2674799454
98	0.2648090389
99	0.2624290367
100	0.2603833435
101	0.2576088748
102	0.2552227607
103	0.2519367026
104	0.2501403679
105	0.2484111998
106	0.2461345573
107	0.2437121146
108	0.2405951833
109	0.2389715982
110	0.2369539291
111	0.234690493
112	0.2324829119
113	0.23081477
114	0.228773551
115	0.2266145811
116	0.2245366933
117	0.2218836721
118	0.2204426469
119	0.2191607596
120	0.2166860598
121	0.2144316592
122	0.2127541487
123	0.2113405845
124	0.2101749644
125	0.2087358472
126	0.2066546771
127	0.2048757359
128	0.2040235324
129	0.2025640405
130	0.2006678966
131	0.1990586113
132	0.1976830312
133	0.1960749497
134	0.1953502032
135	0.1936892246
136	0.1923221002
137	0.1909626849
138	0.1898282577
139	0.1884032719
140	0.1877144906
141	0.1860201506
142	0.1844985498
143	0.1829895751
144	0.1813323143
145	0.1803914901
146	0.1789108665
147	0.1772680928
148	0.175956047
149	0.1749315612
150	0.1737843999
151	0.1723530143
152	0.1705122797
153	0.1692970931
154	0.1683084554
155	0.1665418317
156	0.1654463067
157	0.1643614089
158	0.1636098752
159	0.1622774215
160	0.1607899735
161	0.1597935902
162	0.1584686122
163	0.157664493
164	0.1565136941
165	0.1552462734
166	0.1546471072
167	0.1534644757
168	0.1525287799
169	0.151090735
170	0.1503986587
171	0.1493691545
172	0.14838643
173	0.1474146362
174	0.1467765413
175	0.1454918431
176	0.1445989779
177	0.1442242245
178	0.1434303462
179	0.1423868036
180	0.1413712015
181	0.140837896
182	0.1399375457
183	0.1390430268
184	0.1380597943
185	0.1374101111
186	0.1366918377
187	0.135894236
188	0.1348630684
189	0.1339059021
190	0.1329494091
191	0.132162108
192	0.1315396426
193	0.1309136446
194	0.1300912996
195	0.1293988921
196	0.1285518328
197	0.1280160407
198	0.1275571023
199	0.1264253266
200	0.125968717
201	0.1251514797
202	0.1242827864
203	0.1235918843
204	0.1227521755
205	0.1223170809
206	0.1211406681
207	0.1206586413
208	0.1200850104
209	0.1193814716
210	0.118624548
211	0.118230836
212	0.1177989557
213	0.1172360606
214	0.1165658069
215	0.1162100583
216	0.1155649092
217	0.1149939509
218	0.1143993395
219	0.1138409037
220	0.1130937729
221	0.1127492356
222	0.1124284498
223	0.1119977009
224	0.1112928738
225	0.1110233291
226	0.1104882721
227	0.1100469805
228	0.1093668787
229	0.1084692269
230	0.1079495969
231	0.1075753873
232	0.107032719
233	0.106600269
234	0.1060082291
235	0.1055585102
236	0.1050394745
237	0.1042879144
238	0.103486094
239	0.1030342148
240	0.1024967395
241	0.1019558482
242	0.101640609
243	0.1012551461
244	0.1007219831
245	0.1001468013
246	0.09958251983
247	0.09900851816
248	0.0984778178
249	0.09828484303
250	0.09774617548
251	0.09730758436
252	0.09665042031
253	0.0960918388
254	0.09557686977
255	0.09500208615
256	0.09465800772
257	0.09422891116
258	0.09381982423
259	0.09322663311
260	0.09291219881
261	0.09233719649
262	0.09164473013
263	0.09124948196
264	0.0907755963
265	0.09052229968
266	0.09019619974
267	0.08972878052
268	0.08932893267
269	0.0889121527
270	0.08834358699
271	0.08794680238
272	0.08762397004
273	0.08716084794
274	0.08671439079
275	0.0863799223
276	0.08592709332
277	0.08556740932
278	0.08520680075
279	0.08445619122
280	0.08399668039
281	0.08372387419
282	0.08342860915
283	0.08295571284
284	0.0826804578
285	0.08247691382
286	0.08201717979
287	0.08148598057
288	0.08105887572
289	0.08086904172
290	0.08048349938
291	0.08022201705
292	0.08006612632
293	0.07976331211
294	0.07946950495
295	0.07924412476
296	0.07889733554
297	0.07836737028
298	0.07812726472
299	0.07782189564
300	0.07757628423
301	0.0772464436
302	0.07694952344
303	0.07669814994
304	0.07631744502
305	0.07612427104
306	0.07580425781
307	0.07538342264
308	0.07514341351
309	0.07481164847
310	0.07453479186
311	0.07422637152
312	0.07390676686
313	0.0736192004
314	0.07325361712
315	0.07296002434
316	0.07259519962
317	0.07222705616
318	0.07192901242
319	0.07159966596
320	0.07126152164
321	0.07107191326
322	0.07079700809
323	0.07047184399
324	0.07019433169
325	0.06991324693
326	0.06957635086
327	0.06922351568
328	0.06900274373
329	0.06859269477
330	0.06831996171
331	0.0680632864
332	0.067783216
333	0.06760617389
334	0.06739196344
335	0.06716458931
336	0.06684856864
337	0.06666910879
338	0.06647641727
339	0.06625777684
340	0.0659304446
341	0.06572674972
342	0.0654088399
343	0.06515888095
344	0.06492560185
345	0.06464751887
346	0.06444652894
347	0.06420350411
348	0.06391849986
349	0.06367772327
350	0.06332591289
351	0.06320135261
352	0.06309303865
353	0.06286635327
354	0.06279242567
355	0.06255750221
356	0.06243471278
357	0.06221591624
358	0.06207346837
359	0.06178632616
360	0.06164090369
361	0.06140283168
362	0.06117409662
363	0.06096316053
364	0.0607141808
365	0.06049667389
366	0.06031748494
367	0.0601416069
368	0.05986944367
369	0.05963968313
370	0.0594206914
371	0.05919177719
372	0.05901416901
373	0.05866863246
374	0.05859140097
375	0.05841686517
376	0.05809925605
377	0.05790584435
378	0.05767641935
379	0.05745802737
380	0.05726472274
381	0.05708476149
382	0.05697046081
383	0.05682394335
384	0.0565428221
385	0.05640111112
386	0.05617886659
387	0.05597189014
388	0.05576536701
389	0.05549973542
390	0.05531363809
391	0.0550930135
392	0.05494569313
393	0.05476381913
394	0.05464557212
395	0.05443306178
396	0.05428307796
397	0.05410370081
398	0.05391486292
399	0.05381816142
400	0.05364647024
401	0.05347018
402	0.0533209757
403	0.05319470257
404	0.05300337263
405	0.05288644733
406	0.05273832887
407	0.05259418344
408	0.05245205834
409	0.05228424528
410	0.05211669191
411	0.05190453683
